VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2015-09-01 00:04:48,2015-09-01 00:06:44,N,1,-73.9431228637695,40.8266143798828,-73.9434051513671,40.829246520996,1,0.65,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
2,2015-09-01 00:03:44,2015-09-01 00:06:02,N,1,-73.9516296386718,40.7437210083007,-73.952880859375,40.7463264465332,2,0.3,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1
2,2015-09-01 00:03:56,2015-09-01 00:10:29,N,1,-73.9276962280273,40.8652954101562,-73.9104843139648,40.8774337768554,1,1.47,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1
2,2015-09-01 00:04:38,2015-09-01 00:08:54,N,1,-73.8913650512695,40.7469139099121,-73.8948211669921,40.7606315612792,1,1.45,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1
2,2015-09-01 00:12:26,2015-09-01 00:12:34,N,5,-73.8733215332031,40.8401756286621,-73.873306274414,40.8401870727539,1,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,9.0,1,2
2,2015-09-01 00:05:40,2015-09-01 00:07:49,N,1,-73.9625930786132,40.8046264648437,-73.958740234375,40.8006858825683,1,0.46,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
2,2015-09-01 00:04:51,2015-09-01 00:08:09,N,1,-73.9523086547851,40.803295135498,-73.9413604736328,40.8183059692382,1,1.19,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,1,1
2,2015-09-01 00:05:48,2015-09-01 00:07:58,N,1,-73.9263763427734,40.8183212280273,-73.923599243164,40.814453125,5,0.44,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
2,2015-09-01 00:06:27,2015-09-01 00:09:11,N,1,-73.9385299682617,40.8049888610839,-73.9358367919921,40.8070945739746,1,0.4,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1
2,2015-09-01 00:06:09,2015-09-01 00:09:10,N,1,-73.829833984375,40.7137336730957,-73.8316421508789,40.7057151794433,1,0.76,4.5,0.5,0.5,1.16,0.0,,0.3,6.96,1,1
2,2015-09-01 00:05:46,2015-09-01 00:09:42,N,5,-73.8314895629882,40.8778762817382,-73.8314971923828,40.8778533935546,2,0.0,35.0,0.0,0.0,5.0,5.54,,0.0,45.54,1,2
