title,episodes,type
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,1.0,ova
Ai to Yuuto: Hajimete no Otsukai,1.0,movie
Aikatsu Friends!: Kagayaki no Jewel,26.0,tv
Aikatsu! 10th Story: Mirai e no Starway,1.0,movie
Aikatsu! 10th Story: Mirai e no Starway (2023),1.0,movie
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,1.0,movie
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,1.0,special
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,1.0,movie
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,3.0,ova
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,3.0,ova
Aisei Tenshi Love Mary: Akusei Jutai - The Animation,2.0,ova
Aishen Qiaokeli-ing: Wanjie Jinian,1.0,ona
Aishiteru yo McCrea: McCrea no Koutsuu Anzen,1.0,ova
Aitsu to Lullaby: Suiyobi no Cinderella,1.0,movie
Ajimu: Kaigan Monogatari,4.0,ona
Ajin Part 1: Shoudou,1.0,movie
Ajin Part 2: Shoutotsu,1.0,movie
Ajin Part 3: Shougeki,1.0,movie
Akagaki Genzou: Tokuri no Wakare,1.0,movie
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",1.0,ova
Akage no Anne: Green Gables e no Michi,1.0,movie
Akai Hoshi Aoi Hoshi: Tenmon Carat no Hoshi kara,1.0,music
Akai Kiba: Blue Sonnet,5.0,ova
Akai Koudan Zillion: Utahime Yakyoku,1.0,ova
"Akai Shouzou: Char, Soshite Frontal e",1.0,special
Akaneiro ni Somaru Saka: Hardcore,1.0,special
Akashic Re:cords,1.0,ona
Akebi no Hana: Maho,1.0,ova
Aki-Sora: Yume no Naka,2.0,ova
Akichi Asobi: Playground,1.0,movie
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,1.0,movie
Akikan!: Kan Ippatsu!? Onsen Panic,1.0,ova
Akita Kenritsu Iburi Gakkou Chuutou-bu: Web-ban Omake,27.0,ona
Aku no Onna Kanbu: Full Moon Night,1.0,ova
Aku no Onna Kanbu: Full Moon Night R,2.0,ova
Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer,1.0,movie
Akuei to Gacchinpo: Tenkomori,12.0,tv
Akuei to Gacchinpo: Tenkomori - Maboroshi no Omake Episode,1.0,special
Akuma Tou no Prince: Mitsume ga Tooru,1.0,special
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,1.0,special
Akuma-kun: Youkoso Akuma Land e!!,1.0,movie
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,,tv
Ali Meng Zhi Dao: Wo de Yun,10.0,ona
Alibaba 2: Solomon Fengyin,1.0,movie
Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥,1.0,ova
Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,1.0,ona
Alps Monogatari: Watashi no Annette,48.0,tv
Alps Monogatari: Watashi no Annette Specials,2.0,special
Alps no Shoujo Heidi: Alm no Yama-hen,1.0,movie
Alps no Shoujo Heidi: Heidi to Clara-hen,1.0,movie
Altered Carbon: Resleeved,1.0,ona
Amada Anime Series: Super Mario Brothers,3.0,ova
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,1.0,special
Amaenaide yo!!: Yasumanaide yo!!,1.0,special
Amagami SS+ Plus: Extra Episode+ Plus,6.0,special
Amagami SS: Tachibana Miya-hen - Imouto,1.0,special
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,1.0,special
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,7.0,special
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,13.0,ona
Amanchu!: Upyopyo Dive Tsukkome! Amazon no Sekai!,1.0,special
Amanchu!: Upyopyo Dive Tsukkome! Umi no Sekai!,6.0,special
Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto,1.0,ova
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,1.0,ova
